acerola; Acerola
acerolas; Acerola
acrola; Acerola
abacaxi; Abacaxi
abacaxis; Abacaxi
abacaxises; Abacaxi
abakxi; Abacaxi
abkxi; Abacaxi
abakxi; Abacaxi
abaxaqui; Abacaxi
açaí; Açaí
açai; Açaí
acai; Açaí
asaí; Açaí
asai; Açaí
assai; Açaí
ascai; Açaí
asais; Açaí
amoras; Amora
amora; Amora
amorar; Amora
amoar; Amora
cacaus; Cacau
cacau; Cacau
cacal; Cacau
cajá; Cajá
caja; Cajá
cajas; Cajá
cajú; Caju
caju; Caju
cajus; Caju
cupuaçu; Cupuaçu
cupuasu; Cupuaçu
cupuacu; Cupuaçu
cupuassu; Cupuaçu
cupuaçus; Cupuaçu
cupuaçusis; Cupuaçu
framboesa; Framboesa
framboeza; Framboesa
framboesas; Framboesa
franboesa; Framboesa
franboesas; Framboesa
goiaba; Goiaba
goiab; Goiaba
goiabas; Goiaba
graviola; Graviola
graivola; Graviola
gravola; Graviola
graviolas; Graviola
kiwi; Kiwi
kiwis; Kiwi
kiui; Kiwi
kyui; Kiwi
quiui; Kiwi
qiui; Kiwi
laranjas; Laranja
laranja; Laranja
naranja; Laranja
nananja; Laranja
laraja; Laranja
laranga; Laranja
Limão; Limão
limao; Limão
limaum; Limão
limões; Limão
limoes; Limão
limaozinho; Limão
limon; Limão
limonada; Limão
manga; Manga
mangas; Manga
mangá; Manga
maracujá; Maracujá
maracujas; Maracujá
maracujás; Maracujá
maracuja; Maracujá
marcuja; Maracujá
maracujina; Maracujá
maracuga; Maracujá
morango; Morango
morangos; Morango
moranho; Morango
moranguinho; Morango
moranguejo; Morango
morangu; Morango
moranguito; Morango
tamarindo; Tamarindo
tamarindos; Tamarindo
tâmarindo; Tamarindo
tamarind; Tamarindo
tamarino; Tamarindo
tanarindo; Tamarindo
tanadindo; Tamarindo
tamarindio; Tamarindo
tangerina; Tangerina
tangerna; Tangerina
tangarina; Tangerina
tengarina; Tangerina
tungerina; Tangerina
tanjerina; Tangerina
tanarina; Tangerina
tanjerinas; Tangerina
tangerinas; Tangerina
umbu; Umbu
umb; Umbu
umba; Umbu
ombu; Umbu
unbu; Umbu
umbus; Umbu
unbus; Umbu
uva; Uva
uvas; Uva
uvinha; Uva
uvita; Uva
Uvazinha; Uva
